Ano,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez,Media
1931,710,398,382,195,1241,1383,895,415,1119,851,415,637,720
1932,547,756,756,1445,979,844,482,437,606,772,534,876,753
1933,277,370,292,174,178,133,156,115,251,554,321,170,249
1934,273,649,473,529,362,201,175,165,206,489,196,555,356
1935,296,258,477,218,125,287,354,817,1142,3415,1041,575,750
1936,1152,392,267,169,235,1321,353,953,1008,858,783,484,665
1937,494,397,770,691,377,288,191,336,289,1221,1126,509,557
1938,494,1097,352,413,899,1520,2104,541,503,478,423,334,763
1939,369,448,760,451,563,456,481,217,516,315,1004,1803,615
1940,628,432,248,403,491,239,191,292,254,271,238,353,337
1941,635,1097,498,321,437,580,375,967,542,616,684,748,625
1942,378,1078,706,802,610,816,815,568,443,474,227,200,593
1943,243,416,299,169,162,612,436,794,660,748,483,263,440
1944,520,296,847,304,142,115,101,87,233,153,483,455,311
1945,128,268,468,193,132,231,953,255,220,376,269,296,316
1946,621,2198,1809,671,439,635,1156,534,539,924,633,674,903
1947,555,994,764,322,255,660,493,832,1552,1554,539,607,761
1948,513,740,661,491,650,472,343,1280,438,504,697,209,583
1949,277,150,280,659,391,606,246,257,312,289,207,187,322
1950,639,523,939,314,359,273,270,185,293,1292,536,460,507
1951,511,1101,1178,344,175,172,201,102,104,890,897,636,526
1952,316,275,207,164,92,414,290,171,758,1217,914,405,435
1953,465,503,366,279,216,259,178,153,466,848,1272,518,460
1954,862,512,681,413,1794,1380,819,418,578,1181,464,277,782
1955,242,220,359,551,885,1741,2105,795,799,277,201,295,706
1956,447,593,276,605,1119,530,473,702,578,401,228,181,511
1957,310,784,371,319,282,514,2039,3182,3036,1226,1010,553,1136
1958,376,296,655,337,200,410,307,534,1044,561,523,638,490
1959,468,545,311,293,399,401,271,322,633,334,187,149,359
1960,200,351,305,385,335,418,313,958,807,834,1021,461,532
1961,438,381,1087,617,508,543,302,161,955,1076,1612,616,691
1962,372,491,815,347,242,280,220,169,587,1123,539,233,452
1963,369,766,728,571,185,150,106,102,139,1100,1343,747,526
1964,246,427,329,436,596,557,679,773,947,479,271,305,504
1965,273,407,445,238,1511,539,1462,748,662,1345,949,1085,805
1966,703,1395,943,336,306,453,585,272,766,1027,1034,776,716
1967,667,869,1116,542,218,515,382,383,438,332,382,639,540
1968,465,393,225,253,167,159,186,141,164,199,479,335,264
1969,459,541,565,1207,686,1334,979,325,343,743,920,504,717
1970,478,444,337,288,505,1063,1277,352,469,831,343,858,604
1971,2224,788,845,802,1121,1506,1037,526,392,624,217,199,857
1972,406,960,888,509,184,456,561,956,1942,1765,780,762,847
1973,670,660,491,484,769,909,1260,1073,1896,1348,754,434,896
1974,806,819,802,418,225,439,656,449,650,276,326,225,508
1975,447,350,490,286,208,242,290,728,885,1765,757,1892,695
1976,1072,748,774,669,500,1556,574,1198,867,545,855,673,836
1977,828,1002,746,751,284,318,328,424,372,1048,705,676,624
1978,271,211,372,173,132,180,470,542,637,337,463,435,352
1979,303,164,249,241,1539,406,350,486,859,1639,1590,1105,744
1980,627,569,929,439,405,330,952,955,1580,833,605,1033,771
1981,1341,679,287,262,217,182,119,149,221,539,602,853,454
1982,330,544,368,182,193,719,1846,657,342,1088,2165,1477,826
1983,790,817,1238,683,2010,2169,5150,1658,1158,1332,739,588,1528
1984,434,255,354,417,631,1102,601,1747,779,595,1037,645,716
1985,274,595,392,781,296,179,191,110,183,143,256,82,290
1986,166,430,433,390,405,346,144,276,438,512,570,903,418
1987,848,773,277,311,1814,1386,666,439,321,544,344,229,663
1988,287,410,417,265,1580,1229,401,179,216,439,312,197,494
1989,824,1259,690,705,940,280,459,898,1736,714,322,201,752
1990,1490,943,512,847,934,1781,1137,1498,1565,1396,1222,571,1158
1991,253,311,275,279,203,689,564,476,177,634,535,585,415
1992,357,396,626,512,1452,2845,1363,1143,628,468,509,334,886
1993,320,833,791,493,1006,722,710,391,911,2194,396,568,778
1994,236,820,510,389,795,1064,1337,535,224,342,772,433,621
1995,2148,1415,683,299,174,304,1097,267,480,1045,452,307,723
1996,1085,1399,1370,1086,249,659,1327,593,897,1389,1034,787,990
1997,1069,1781,885,248,237,678,688,1056,546,2362,2296,1134,1082
1998,1370,1153,1407,2418,1587,458,1088,1818,1963,2679,660,545,1429
1999,519,814,632,654,325,770,1620,268,385,1151,388,299,652
2000,445,669,743,231,219,269,490,342,1863,1420,477,425,633
2001,979,1596,942,443,585,740,882,780,637,1872,562,682,892
2002,677,543,399,229,528,276,189,537,866,892,1088,1084,609
2003,547,652,602,229,142,491,454,189,168,304,504,1056,445
2004,727,351,289,256,602,753,759,296,312,978,1015,486,569
2005,467,251,182,293,593,852,552,461,2036,1957,1083,332,755
2006,284,294,292,257,95,80,95,132,352,428,332,466,259
2007,564,612,681,618,1516,686,376,255,218,458,1034,715,644
2008,690,422,399,488,838,647,393,669,397,1356,1329,287,660
2009,351,401,306,128,147,197,711,1047,1647,2218,865,931,746
2010,1238,1181,866,1651,2089,785,800,707,220,485,427,1563,1001
2011,1089,1791,972,842,258,358,1443,2219,2038,951,565,307,1069
2012,611,479,367,434,732,1773,840,704,197,337,370,254,592
2013,640,540,866,528,317,1552,1709,831,1104,1045,360,366,822
2014,823,360,939,432,470,3098,861,384,782,1147,557,596,871
2015,1031,837,639,518,475,945,1592,580,554,1797,1693,1575,1020
2016,1529,975,1211,607,775,1004,667,947,709,685,480,570,847
2017,971,806,454,259,586,1195,224,318,156,687,837,402,575
2018,1099,695,552,484,163,242,238,173,476,1468,633,280,542
2019,412,483,693,587,709,1612,395,180,313,301,333,382,533
2020,247,220,184,84,93,471,323,583,244,163,186,751,296
2021,939,840,508,217,159,260,281,207,318,853,396,147,427
